"1","siteurl","https://www.humanismforsale.org/text","yes"
"2","blogname","Humanism For Sale","yes"
"3","blogdescription","Making and Marketing Schoolbooks in Italy, 1450-1650","yes"
"4","users_can_register","0","yes"
"5","admin_email","itercommunitydev@uvic.ca","yes"
"6","start_of_week","1","yes"
"7","use_balanceTags","0","yes"
"8","use_smilies","1","yes"
"9","require_name_email","1","yes"
"10","comments_notify","1","yes"
"11","posts_per_rss","10","yes"
"13","rss_use_excerpt","0","yes"
"14","mailserver_url","mail.example.com","yes"
"15","mailserver_login","login@example.com","yes"
"16","mailserver_pass","password","yes"
"17","mailserver_port","110","yes"
"18","default_category","1","yes"
"19","default_comment_status","open","yes"
"20","default_ping_status","open","yes"
"21","default_pingback_flag","","yes"
"23","posts_per_page","5","yes"
"25","date_format","F j, Y","yes"
"26","time_format","g:i a","yes"
"27","links_updated_date_format","F j, Y g:i a","yes"
"31","comment_moderation","","yes"
"32","moderation_notify","1","yes"
"33","permalink_structure","/archives/%post_id%","yes"
"35","hack_file","0","yes"
"36","blog_charset","UTF-8","yes"
"37","moderation_keys","","no"
"38","active_plugins","a:6:{i:0;s:19:""akismet/akismet.php"";i:1;s:33:""google-captcha/google-captcha.php"";i:2;s:48:""php-compatibility-checker/wpengine-phpcompat.php"";i:3;s:23:""wordfence/wordfence.php"";i:4;s:10:""wp-flv.php"";i:5;s:27:""wp-super-cache/wp-cache.php"";}","yes"
"39","home","https://www.humanismforsale.org/text","yes"
"40","category_base","","yes"
"41","ping_sites","http://rpc.pingomatic.com/","yes"
"43","comment_max_links","1","yes"
"44","gmt_offset","","yes"
"45","default_email_category","1","yes"
"46","recently_edited","a:3:{i:0;s:83:""/home/humanism/public_html/text/wp-content/themes/commentpress/comments-by-user.php"";i:1;s:72:""/home/humanism/public_html/text/wp-content/themes/commentpress/style.css"";i:2;s:0:"""";}","no"
"48","template","commentpress","yes"
"49","stylesheet","commentpress","yes"
"50","comment_whitelist","1","yes"
"52","blacklist_keys","","no"
"53","comment_registration","1","yes"
"55","html_type","text/html","yes"
"56","use_trackback","0","yes"
"57","default_role","subscriber","yes"
"58","db_version","44719","yes"
"59","uploads_use_yearmonth_folders","1","yes"
"60","upload_path","/var/www/html/text/wp-content/uploads","yes"
"63","blog_public","1","yes"
"64","default_link_category","2","yes"
"65","show_on_front","","yes"
"66","tag_base","","yes"
"67","show_avatars","1","yes"
"68","avatar_rating","G","yes"
"69","upload_url_path","","yes"
"70","thumbnail_size_w","150","yes"
"71","thumbnail_size_h","150","yes"
"72","thumbnail_crop","1","yes"
"73","medium_size_w","300","yes"
"74","medium_size_h","300","yes"
"75","avatar_default","mystery","yes"
